province,lookback,accuracy,precision,recall,f1,roc_auc
Hung_Yen,30,0.5348837209302325,0.82,0.44565217391304346,0.5774647887323944,0.5843125734430082
Khanh_Hoa,3,0.5348837209302325,0.6666666666666666,0.06451612903225806,0.11764705882352941,0.6439576311988445
Khanh_Hoa,5,0.5271317829457365,0.6,0.04838709677419355,0.08955223880597014,0.6287915262397689
Khanh_Hoa,7,0.5348837209302325,0.75,0.04838709677419355,0.09090909090909091,0.6398651901781416
Khanh_Hoa,10,0.5426356589147286,0.8,0.06451612903225806,0.11940298507462686,0.5775156475686086
Khanh_Hoa,15,0.5503875968992248,0.8333333333333334,0.08064516129032258,0.14705882352941177,0.5919595570534425
Khanh_Hoa,30,0.5348837209302325,0.5714285714285714,0.12903225806451613,0.21052631578947367,0.5317766008666346
Lai_Chau,3,0.46511627906976744,0.7317073170731707,0.3409090909090909,0.46511627906976744,0.5764966740576496
Lai_Chau,5,0.49612403100775193,0.7674418604651163,0.375,0.5038167938931297,0.5637472283813747
Lai_Chau,7,0.4806201550387597,0.7441860465116279,0.36363636363636365,0.48854961832061067,0.5515521064301553
Lai_Chau,10,0.49612403100775193,0.7674418604651163,0.375,0.5038167938931297,0.5745565410199556
Lai_Chau,15,0.4883720930232558,0.75,0.375,0.5,0.5570953436807096
Lai_Chau,30,0.4883720930232558,0.775,0.3522727272727273,0.484375,0.6158536585365855
Lam_Dong,3,0.5968992248062015,0.8148148148148148,0.3188405797101449,0.4583333333333333,0.706280193236715
Lam_Dong,5,0.5968992248062015,0.8148148148148148,0.3188405797101449,0.4583333333333333,0.6915458937198068
Lam_Dong,7,0.6124031007751938,0.8064516129032258,0.36231884057971014,0.5,0.6937198067632849
Lam_Dong,10,0.6201550387596899,0.8125,0.37681159420289856,0.5148514851485149,0.7135265700483092
Lam_Dong,15,0.6356589147286822,0.8235294117647058,0.4057971014492754,0.5436893203883495,0.7388888888888888
Lam_Dong,30,0.6356589147286822,0.775,0.4492753623188406,0.5688073394495413,0.7338164251207729
Lang_Son,3,0.5503875968992248,0.6825396825396826,0.5308641975308642,0.5972222222222222,0.5208333333333333
Lang_Son,5,0.4883720930232558,0.6153846153846154,0.49382716049382713,0.547945205479452,0.47273662551440326
Lang_Son,7,0.49612403100775193,0.625,0.49382716049382713,0.5517241379310345,0.4837962962962963
Lang_Son,10,0.4883720930232558,0.6190476190476191,0.48148148148148145,0.5416666666666666,0.4776234567901234
Lang_Son,15,0.4728682170542636,0.6,0.48148148148148145,0.5342465753424658,0.45113168724279834
Lang_Son,30,0.4806201550387597,0.6060606060606061,0.49382716049382713,0.54421768707483,0.4565329218106995
Lao_Cai,3,0.4883720930232558,0.703125,0.4891304347826087,0.5769230769230769,0.5114571092831961
Lao_Cai,5,0.5038759689922481,0.7121212121212122,0.5108695652173914,0.5949367088607594,0.49559341950646296
Lao_Cai,7,0.49612403100775193,0.7014925373134329,0.5108695652173914,0.5911949685534591,0.481786133960047
Lao_Cai,10,0.4418604651162791,0.65625,0.45652173913043476,0.5384615384615384,0.4688601645123384
Lao_Cai,15,0.46511627906976744,0.6825396825396826,0.4673913043478261,0.5548387096774193,0.4623971797884841
Lao_Cai,30,0.5658914728682171,0.75,0.5869565217391305,0.6585365853658537,0.5528789659224441
Nghe_An,3,0.4418604651162791,0.4852941176470588,0.4714285714285714,0.4782608695652174,0.42179176755447945
Nghe_An,5,0.4728682170542636,0.5147058823529411,0.5,0.5072463768115942,0.43292978208232447
Nghe_An,7,0.43410852713178294,0.47619047619047616,0.42857142857142855,0.45112781954887216,0.4099273607748184
Nghe_An,10,0.4418604651162791,0.48148148148148145,0.37142857142857144,0.41935483870967744,0.3803874092009685
Nghe_An,15,0.40310077519379844,0.4222222222222222,0.2714285714285714,0.33043478260869563,0.41840193704600487
Nghe_An,30,0.4186046511627907,0.4418604651162791,0.2714285714285714,0.336283185840708,0.41089588377723973
Ninh_Binh,3,0.4186046511627907,0.6530612244897959,0.35555555555555557,0.460431654676259,0.45925925925925926
Ninh_Binh,5,0.3953488372093023,0.6363636363636364,0.3111111111111111,0.417910447761194,0.47407407407407404
Ninh_Binh,7,0.4728682170542636,0.72,0.4,0.5142857142857142,0.49943019943019945
Ninh_Binh,10,0.4573643410852713,0.7272727272727273,0.35555555555555557,0.47761194029850745,0.51994301994302
Ninh_Binh,15,0.46511627906976744,0.7058823529411765,0.4,0.5106382978723404,0.525925925925926
Ninh_Binh,30,0.46511627906976744,0.7142857142857143,0.3888888888888889,0.5035971223021583,0.5452991452991454
Phu_Tho,3,0.4418604651162791,0.5555555555555556,0.3246753246753247,0.4098360655737705,0.47452547452547456
Phu_Tho,5,0.4108527131782946,0.5102040816326531,0.3246753246753247,0.3968253968253968,0.4797702297702297
Phu_Tho,7,0.4418604651162791,0.5490196078431373,0.36363636363636365,0.4375,0.4712787212787212
Phu_Tho,10,0.4728682170542636,0.5818181818181818,0.4155844155844156,0.48484848484848486,0.46378621378621376
Phu_Tho,15,0.4728682170542636,0.5818181818181818,0.4155844155844156,0.48484848484848486,0.474025974025974
Phu_Tho,30,0.5116279069767442,0.625,0.45454545454545453,0.5263157894736842,0.5047452547452548
Quang_Ngai,3,0.5658914728682171,0.8666666666666667,0.19402985074626866,0.3170731707317073,0.7571015888300433
Quang_Ngai,5,0.5968992248062015,0.8260869565217391,0.2835820895522388,0.4222222222222222,0.7402503610977371
Quang_Ngai,7,0.5736434108527132,0.8,0.23880597014925373,0.367816091954023,0.7409725565719789
Quang_Ngai,10,0.5271317829457365,0.6363636363636364,0.208955223880597,0.3146067415730337,0.6612903225806452
Quang_Ngai,15,0.5193798449612403,0.6190476190476191,0.19402985074626866,0.29545454545454547,0.6441983630235918
Quang_Ngai,30,0.5116279069767442,0.5666666666666667,0.2537313432835821,0.35051546391752575,0.5640346653827636
Quang_Ninh,3,0.49612403100775193,0.6481481481481481,0.43209876543209874,0.5185185185185185,0.5174897119341564
Quang_Ninh,5,0.4883720930232558,0.6363636363636364,0.43209876543209874,0.5147058823529411,0.49614197530864196
Quang_Ninh,7,0.5116279069767442,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.5023148148148149
Quang_Ninh,10,0.49612403100775193,0.6538461538461539,0.41975308641975306,0.5112781954887218,0.5030864197530864
Quang_Ninh,15,0.5193798449612403,0.6792452830188679,0.4444444444444444,0.5373134328358209,0.5033436213991769
Quang_Ninh,30,0.4728682170542636,0.6666666666666666,0.32098765432098764,0.43333333333333335,0.5180041152263375
Quang_Tri,3,0.4883720930232558,0.5925925925925926,0.22535211267605634,0.32653061224489793,0.6847984458474987
Quang_Tri,5,0.5581395348837209,0.8181818181818182,0.2535211267605634,0.3870967741935484,0.7134531325886352
Quang_Tri,7,0.5348837209302325,0.7391304347826086,0.23943661971830985,0.3617021276595745,0.6969402622632347
Quang_Tri,10,0.4806201550387597,0.5909090909090909,0.18309859154929578,0.27956989247311825,0.5961631860126275
